abstract,title,authors,session,all_keyword_ids,paper_id,session_name,stream,timeslot,track,stream_name,schedule,day,time,start_time,end_time,date,room,keywords,track_code
"We study a backlogging inventory model of a manufacturing system with two facilities that periodically produces, transfers and sells a product to stochastic and price-sensitive demands. By expounding an insightful difference in reactive transshipment decisions between lost-sales and backlogging models, we characterize inefficient backorder transshipment around the facilities in the backlogging situations and demonstrate, on account of the inefficient backorder transshipment, that optimal production,
pricing, and transshipment decisions can retain complementarity for a group of variables, and behave monotonically. Further, we perform the monotone comparative statics of the complementary variables to establish sensitivities for substitutable demands to optima pricing decisions.","Production, pricing and transshipment control on a backlogging manufacturing system",[75963],73,"[61, 108, 138]",130,"Advancements of OR-analytics in statistics, machine learning and data science 2",16,3,28,"Advancements of OR-analytics in statistics, machine learning and data science","Monday, 10:30-12:00",M,B,10:30,12:00,2024-07-01,065 [building - 208],"['Inventory', 'Programming, Dynamic', 'Supply Chain Management']",MB-28
"In real life, such as fashionable commodities and high-tech products with short product life cycle, the length of the waiting time for the next replenishment is the main factor for deciding whether the backlogging with be accepted or not. On the other hand, such as seasonal items, first-hand vegetables, and fruits during the expiration period, there was no deterioration occurring immediately. In addition, several studies have shown that the impact of inflation on lot-sizing decision-making is often not negligible. We also noted that sales at the retail level tend to be proportional to the amount of inventory displayed. To reflect these phenomenon, this paper presents an inventory model for non-instantaneous deteriorating items with price- and stock-dependent demand under inflation and time value of money over a finite planning horizon. In the model, shortages are allowed and the unsatisfied demand is partially backlogged at the exponential rate with respect to the waiting time. We establish the theoretical results and provide an efficient solution procedure to find the optimal number of replenishment, the cycle time and selling price. Then the optimal order quantity and the total present value of profits are obtained. Finally, numerical examples are used to illustrate the proposed model. In addition, sensitivity analysis of the model parameters and some managerial insights are also discussed.",Optimal Ordering Policies for Non-instantaneous Deterioration Items with Price and Stock Sensitive Demand under Inflation and Time Discounting,"[75816, 27549]",833,"[61, 105, 151]",132,Stochastic inventory systems,32,12,49,"Lot Sizing, Lot Scheduling and Production Planning","Wednesday, 8:30-10:00",W,A,8:30,10:00,2024-07-03,M1 [building - 101],"['Inventory', 'Production and Inventory Systems', 'Practice of OR']",WA-49
"Public authorities are obliged to prepare annual budgets. The planning process regularly takes place in a two-way process between the administrative board and specialist departments and is predominantly based on a qualitative forecasting methodology and the updating of the previous year's plans. However, subsequent plan/actual comparisons regularly show that the actual values realized deviate significantly from the planned values in some cases. The uncertainty of developments in the next financial year appears to be too great for the predominantly applied qualitative methods for determining budget estimates to be sufficient to generate budgets that are stable in the sense of low deviations between planned and actual figures. This is taken as an opportunity to develop a quantitative planning methodology with the aid of Monte Carlo simulation in order to take better account of distribution and event risks. A multi-stage procedure is presented, which takes into account the special features of public administration operations and includes suggestions for practical implementation.",Bandwidth planning for public authorities using the example of german municipalities,[61435],255,"[47, 101, 131]",134,"OR in Accounting - Planning, Taxation, and Reporting",7,13,59,OR in Financial and Management Accounting,"Wednesday, 10:30-12:00",W,B,10:30,12:00,2024-07-03,S08 [building - 101],"['Forecasting', 'OR/MS and the Public Sector', 'Simulation']",WB-59
"A multitude of studies within the domain of tourism and hospitality sector have delved into the influence of perceived value on diverse aspects of consumer behaviour. Perceived value is regarded as a crucial element in comprehending a customers' tangible actions. The present study encompasses functional value, FV, social value, SV, and emotional value, EV, as the three distinct dimensions contributing to perceived value and explores their impact on millennial tourist satisfaction, MTS, and their revisit intention, MTRI, in the context of homestay experience in the Indian Hill State of Uttarakhand.  Responses from 329 millennial tourist respondents were analysed. The results of multiple regression analysis reveal that an amalgamation of FV, SV and EV effectively explains 71.2% of the observed variability in MTS. Additionally, the calculated Durbin-Watson statistic is 1.913 indicating the absence of autocorrelation within the residuals, reinforcing the model's reliability. Digressing further, it is observed that FV and EV significantly impact MTS [p < 0.001; β = 0.451 p = 0.002; β = 0.157, respectively], but the same effect is not observed in the case of SV [p = 0.347; β = 0.057]. Further, MTS is found to significantly impact MTRI [p < 0.001; β = 0.868]. Homestays occupy a substantial section of the hospitality industry in this hill state. The findings have important implications for designing a strategy for augmenting millennial tourist revisit in the present context. ","Unravelling the Role of Perceived Value Dimensions in Shaping Millennials' Revisit Intentions - An Empirical Analysis of Homestays in the State of Uttarakhand, India","[58566, 76023, 76024]",536,"[71, 137, 28]",136,Applications of Knowledge and Technology,54,13,08,"Knowledge, Technology, and Innovation","Wednesday, 10:30-12:00",W,B,10:30,12:00,2024-07-03,1020 [building - 202],"['Marketing', 'Strategic Planning and Management', 'Developing Countries']",WB-08
"In recent years, the transition from fossil fuels to clean energy technologies has accelerated. Although this transition might bring environmental and economic benefits, it requires a long-term strategic plan due to the large investment costs involved. In addition, the uncertainties in the technical and economic development of next generation clean energy technologies should be included in this plan. Our research focuses on optimizing strategic plans for the transition to next generation clean energy technologies using stochastic programming. As a case study, we examine the Machine Replacement Problem under Technological Advances. Although it is common to periodically replace machines that completed their economic lifetimes, the exact times of replacement should be optimally determined. For example, in the short-term, it might seem beneficial to replace a conventional machine with an existing clean technology whereas in the long-term, it might be more beneficial to wait and replace it with a future technology that is currently evolving. We formulate this problem using multistage stochastic programming by creating technology advancement scenarios. We analyze the underlying problem structure and the computational complexity of deterministic and stochastic versions. We also present how to solve large-scale problems more efficiently. Finally, we discuss potential applications of our approach to real-life problems such as clean energy transitions for fleets and campuses. ",Strategic Planning for Transition to Next Generation Clean Energy Technologies using Stochastic Programming ,"[74967, 76028]",247,"[93, 117, 111]",137,Planning problems in electrical energy systems,23,2,21,OR in Energy,"Monday, 8:30-10:00",M,A,8:30,10:00,2024-07-01,49 [building - 116],"['OR in Energy', 'Programming, Stochastic', 'Programming, Mixed-Integer']",MA-21
"We study a general class of stochastic scheduling problems that include various machine scheduling and resource-constrained project scheduling problems under uncertainty as special cases. There are two general strategies to solve the addressed class of scheduling problems with stochastic activity durations - open-loop and closed-loop. Although closed-loop policy is theoretically advantageous over open-loop policy, as computing an optimal closed-loop policy requires solving the Bellman equation, which suffers the well-known “curse-of-dimensionalities” for large instances. In this paper, a Markov decision process [MDP] model built upon discrete-time Markov chain [DTMC] is developed for the addressed class of problems. To tackle the curse-of-dimensionalities of obtaining the exact closed-loop policy to the MDP model, we present a general approximate dynamic programming [ADP] framework that integrates simulation, optimization, and reinforcement learning, called Sim-Opt-RL, to provide quality and computationally tractable closed-loop policy. We implement the Sim-Opt-RL framework for a well-known and well-studied stochastic resource-constrained project scheduling [SRCPSP], with a custom designed genetic algorithm [GA], which outperforms the existing closed-loop algorithm, and is competitive with the state-of-the-art open-loop algorithms for the SRCPSP. ","Integrating Simulation, Optimization and Reinforcement Learning for a General Class of Scheduling Problems",[73533],932,"[118, 109, 129]",139,Machine Learning in Machine Scheduling,35,14,60,Project Management and Scheduling,"Wednesday, 12:30-14:00",W,C,12:30,14:00,2024-07-03,S09 [building - 101],"['Project Management and Scheduling', 'Programming, Integer', 'Scheduling']",WC-60
"Using powerful technique of stochastic time change, we introduce a new two-factor commodity price model, where one of the fundamental factors is the activity rate. This factor implicitly introduces stochastic volatility into the model. The model is developed under both physical and risk neutral probability measures, which allows for a wide range of applications
ranging from derivatives pricing to risk management.
We derive forward prices and forward curve evolution within the model’s framework and develop an ingenious calibration procedure, which allows us to filter out the activity rate from daily observed price data. We apply the  model to the rich dataset of daily crude oil and natural gas spot and futures prices and demonstrate its versatility and excellent fit to the historical forward curves",Commodity Forward Curves with Stochastic Time Change,[76025],146,"[135, 0]",142,Modelling commodity markets dynamics,74,2,57,Modern Decision Making in Finance and Insurance,"Monday, 8:30-10:00",M,A,8:30,10:00,2024-07-01,S06 [building - 101],['Stochastic Models'],MA-57
"This presentation will highlight how decision science can power decision
making on the journey from designing a global ocean transportation network serving 100000+ customers across 130 countries to the intricate orchestration of schedules for 700+ vessels to transport our customers goods and ensure availability of equipment to enhance our customers supply chains all the way. At every phase decision science can play a pivotal role in increasing consistency and quality of decision making. We will also delve into the orchestration of problem solving between the different phases.

The presentation will emphasize how the implementation of models and algorithms is really just ten cents a penny – successful implementation of decision science necessitates harmonizing with organizational dynamics, processes, and technological frameworks. We'll explore the evolution of decision science products at Maersk emphasizing the criticality of obsessing about customer and business outcomes through performance and process metrics needed to sustain the vitality and health of decision science products.",Charting the Course - How to power decision making in the Maersk transportation network with decision science,[76035],26,"[26, 65]",145,Berit Brouer,61,6,01,Plenaries,"Monday, 16:30-17:30",M,E,16:30,17:30,2024-07-01,Sportshallen [building - 101],"['Decision Support Systems', 'Logistics']",ME-01
"System dynamics [SD] is a methodology to generate qualitative and quantitative models. SD has two main concepts that are highly suitable to use with scenarios - feedback processes that define the structure of sociotechnical systems and accumulation processes that are responsible for the dynamic behaviour of systems over time. Kunc [2023] proposes framework that integrates methodologically scenarios and SD where the integration can take multiple forms depending on the use of SD for creating or supporting scenarios. Lane [2017] proposes a behavioural focus for SD in terms of its contributions related to mental models, encountering the world, building and implementing formal models, and content of formal models. This work evaluates how the behavioural focus of SD can support overcome some of the behavioural issues in scenario development process such as cognitive biases, effective group facilitation and overcoming business-as-usual thinking [Bryson et al, 2016]",Behavioural aspects of system dynamics use with scenarios,[61687],111,"[10, 133, 131]",147,Scenarios and foresight practices - Behavioural issues I,13,12,11,Behavioural OR,"Wednesday, 8:30-10:00",W,A,8:30,10:00,2024-07-03,12 [building - 116],"['Behavioural OR', 'Soft OR', 'Simulation']",WA-11
"Harry M Markowitz [1927-2023] was a man who lived many lifetimes. An American Jew born in Chicago, his childhood ran through the turmoil of both the Great Depression and World War II. He went on to do much pioneering research, for which he won both the Nobel and John von Neumann prizes.

Within OR, he's recognised as the father of Modern Portfolio Theory for his work on mean-variance analysis. Not content to define just one field, he's also known as the grandfather of Behaviour Economics for his ideas on behaviour under risk. Including and beyond these, he was a prolific researcher across economics, mathematics, and computer science.

Markowitz' collaborators in that are a who's who of 20th century scientists - Dantzig, Friedman, and Sharpe among many others. His academic career took him to institutions the world over, with positions at City University of New York, London School of Economics, and the University of Tokyo. This intertwined with a robust career in industry, including stints at RAND, IBM, and CACI, where he had a significant impact. His life spanned a century of tremendous development, filled with incredible [and at times unbelievable] history and many valued contributions to the sciences.

In this talk we look over Markowitz' life, reviewing the discoveries he made along the way and the influence he had on the direction of so many fields.",The life and work of Harry M Markowitz,[75364],454,"[10, 5, 45]",148,Moments in the history of OR  2,27,14,20,Moments in the history of OR,"Wednesday, 12:30-14:00",W,C,12:30,14:00,2024-07-03,45 [building - 116],"['Behavioural OR', 'Algorithms', 'Financial Modelling']",WC-20
"Oil spills are a constant threat to marine ecosystems and coastal communities. One of the critical aspects of oil spill response is the placement of oil booms. The decision of where to place oil booms is complex as it depends on several factors, including the location of the spill, the nature of the coastline and the potential for environmental and economic damage, especially to the local community. In this paper, a not-oriented slack-based data envelopment analysis [NO-SBM-DEA] approach is proposed to evaluate coastal sensitivity to oil spills. The NO-SBM-DEA approach considers the key aspects of coastal sensitivity - geomorphology, socio-economic and environmental aspects. The specifics of all variables are taken into account when calculating an overall performance score so that there is no need to switch between input and output orientation. The proposed approach provides a comprehensive and objective assessment of coastal sensitivity that can guide the placement of oil booms in the event of an oil spill. All data originate from studies carried out within the North Adriatic Incident Response System [NAMIRS] project. The proposed method was also applied to a case study in the northern Adriatic Sea to demonstrate its potential as a valuable tool for global oil spill mitigation efforts worldwide. The method provides an objective and transparent tool for assessing the sensitivity of coastal areas and can help ensure that oil booms are placed in the most effective locations.",Coastline Sensitivity Analysis for Oil Spill Mitigation - A Not-oriented Slack-based Data Envelopment Analysis Approach,"[54251, 53329]",941,"[24, 40, 143]",149,DEA applications in Environment and Sustainability II,89,9,48,Data Envelopment Analysis and its Application,"Tuesday, 12:30-14:00",T,C,12:30,14:00,2024-07-02,60 [building - 324],"['Data Envelopment Analysis', 'Environmental Management', 'Transportation']",TC-48
"The 15-minute city model proposes a redesign of the urban system to provide access to daily needs or destinations [work, food, health, education, culture and leisure] within a 15-minute walk, cycle or public transport journey. One of the main objectives is to reduce car dependency and it's side effects. The 15-minute may be implemented by thinking a city as a possibility of choice leading to a Social Interaction Potential [SIP]. That is the possibility of easily reaching numerous and diverse people; a potential of jobs or any other amenities. The problem is that the high level of these potentials, which depend on density and transport speed, has been achieved for decades mainly thanks to the speed of the car. Cities are currently built on temporal proximity [by car] rather than physical proximity, which generates car dependency. In order to move towards a more sustainable mobility, it is imperative to return to more physical proximity, to a functioning based more on short distances, which is the idea of the 15-minute city. The question, then, is how to return to an urban functioning based on short distances without abandoning the essence of cities, in particular a high level of SIP. We have developed an optimization model, called OPTIDENS, which allows to find [if possible] the suitable location [or relocation] of any set activities in a city, in such way to respect a given SIP at the lowest travel speed. Some numerical results on data from real-life cities will be given.",OPTIDENS  - A Mathematical Programming Approach for the 15-minute city model,"[38759, 51155, 76044]",612,"[100, 64, 72]",151,Optimization of sustainable urban mobility,79,7,18,Sustainable Cities,"Tuesday, 8:30-10:00",T,A,8:30,10:00,2024-07-02,42 [building - 116],"['OR in Sustainability', 'Location', 'Mathematical Programming']",TA-18
"We describe a novel application of the difference of convex function algorithm [DCA] to a variety of equilibrium problems using the mixed complementarity problem [MCP] format.  These problems involve bilinear constraints, i.e., complementarity and can be approximated iteratively via convex subproblems using DCA.  We develop the necessary theory to make this possible and showcase how it works on several MCPs in energy and other infrastructure.",Solving Equilibrium Problems in Infrastructure using the Difference of Convex Functions Algorithm,"[6412, 76045, 36601, 23956, 74595]",175,"[21, 93, 50]",152,"Energy sector coupling, optimization and equilibrium",23,3,21,OR in Energy,"Monday, 10:30-12:00",M,B,10:30,12:00,2024-07-01,49 [building - 116],"['Convex Optimization', 'OR in Energy', 'Game Theory']",MB-21
"We study inventory planning under demand and supply yield uncertainty. We present new optimality conditions and explicit solutions for the associated single-period newsvendor'' model.  In general, the stochastic-optimal order policy is non-linear in the starting inventory level $x$. The literature has proposed Linear Inflation Rules [LIR] that inflate the classic order-up-to policy. We prove that LIR are only stochastically optimal in the degenerate setting where either demand or [not and] supply yield is uncertain.

Given the good performance of LIR we investigate their optimality under two robust formulations and provide bounds.
We prove that LIR are robustly optimal when only the support of the demand and supply yield distributions are known.  Yet we also provide the optimal distribution-free policy when the first two moments of those distributions are known, which again is non-linear. Both models provide novel, explicit order rules that may be useful for dynamic inventory control.",Inventory Planning with Supply Yield Uncertainty - On the Optimality of Linear Inflation Rules,"[35566, 48165]",162,"[61, 136, 127]",157,Stochastic Models in Logistics,50,8,39,Stochastic Modelling,"Tuesday, 10:30-12:00",T,B,10:30,12:00,2024-07-02,35 [building - 306],"['Inventory', 'Stochastic Optimization', 'Robust Optimization']",TB-39
"Building resilient and sustainable supply chains of goods and energy between Europe and Asia is a key challenge because of long distance, political risks, economic sanctions, environmental impacts, weather conditions, geoeconomics, and etc. In spite of existing routes passing Russia [the Norther Corridor] or Iran [the Silk Road], the European Union [EU] and Turkiye are more interested in initiating a new route in the middle of the two, bypassing Russia and Iran, is so-called the Middle corridor. In the Middle corridor, Azerbaijan, located at the intersection of the North–South and East–West transport routes, is recognized as an important transport and logistics hub. Meanwhile, the establishment of the Zangezur corridor by ending the conflict of Armenia-Azerbaijan may enhance diversifying energy supplies to Europe and beneficial for the global trading. The aim of this study is conducting a route optimization [intelligent, agility, cost-effective] followed by a data-driven analysis of influential factors and explore the various instruments of geoeconomic competition, then design a sustainable supply chains network. ",Sustainable and optimal transport corridors from China [Asia] to Europe reflecting geopolitical tensions in the region,[36980],56,"[138, 25, 28]",158,Developing green and sustainable communities [EWG-ORD Workshop 1],67,9,18,OR for Development and Developing Countries,"Tuesday, 12:30-14:00",T,C,12:30,14:00,2024-07-02,42 [building - 116],"['Supply Chain Management', 'Decision Analysis', 'Developing Countries']",TC-18
"In the ‘Model Munich’, Stadtwerke München has collected spatial data on buildings, parcels of land and building blocks. This digital twin of the City of Munich is primarily used to answer questions related to the transition of the heating sector. Therefore, building-specific heat demand, utilized energy sources and technical building properties, but also regionally resolved supply potentials for groundwater heat pumps, air heat pumps, heating networks, etc. are included. Moreover, the ‘Model Munich’ is connected to the bottom-up simulation model Invert/EE-Lab, which employs a nested logit approach for building-specific calculations of long-term scenarios regarding the change in heating systems and renovation activities. A specific application of the ‘Model Munich’ is municipal heat planning. In 2021, Stadtwerke München agreed with the City of Munich to utilize this model for municipal heat planning. Within this collaboration, numerous simulation runs were conducted using Invert/EE-Lab, from which valuable insights could be gained. This contribution provides an overview of the architecture of the ‘Model Munich’. In addition, results of the simulation runs are presented, aiming to achieve climate neutrality by no later than 2045 in accordance with the German Heat Planning Act.",Transition of the heating sector in a large city - simulation of scenarios with a digital twin,[15267],813,"[37, 94, 3]",159,Emissions and Heating Sector,80,13,53,Sustainable and Resilient Systems,"Wednesday, 10:30-12:00",W,B,10:30,12:00,2024-07-03,8007 [building - 202],"['Energy Policy and Planning', 'OR in Environment and Climate change', 'Agent Systems']",WB-53
"Problems of modeling of uncertainty and imprecision for the analysis of the insufficient expert data [IED] is considered in the environment of interactive group multi-criteria decision making [MCDM]. Uncertainty index is presented by the fuzzy measure on alternatives set. Based on the informational entropy maximum principle, moments’ method for the IED is developed for the evaluation of associated probabilities class [APC] of Choquet’s second order capacity. The second pole of the IED - the data imprecision in the form of a fuzzy subset [image] on alternatives set is constructed.  Based on the Sugeno finite integral most typical value [MTV] as a prediction on possible alternatives set for the IED is constructed. In MTV the both poles of the IED [APC and image] are accumulated. The numerical example illustrates the possibilities of the approach, in the optimal selection of recommendation elements from MCDM alternatives. The sensitive and comparative analysis for this example is provided.",Associated Probabilities and Insufficient Expert Data in Multi-Criteria Decision Making,"[76048, 35266]",885,"[25, 49]",160,Fuzzy sets and systems,44,12,47,Multiple Criteria Decision Analysis,"Wednesday, 8:30-10:00",W,A,8:30,10:00,2024-07-03,50 [building - 324],"['Decision Analysis', 'Fuzzy Sets and Systems']",WA-47
"We assume fuzziness in emergency logistic planning models for the disaster zone, such as the covering, location, transportation and routing problems. We consider a fuzzy multi-objective emergency shelters location and victims evacuation problem [FMOESLVEP] in the disaster-stricken zone. The model objectives include [1] maximizing the total selection reliability index of opened shelters; [2] minimizing total costs, including ﬁxed costs for opening shelters, victim transportation costs, and service costs, [3] minimizing of monotone expectation of total time for victims’ evacuation, and [4] minimizing the number of open shelters. FMOESLVEP models are developed for the different input fuzzy information. For the evaluation of selection reliability indexes of opened shelters the models take into account the interactions between decision making attributes by aggregating the extended Choquet integral. The realization scheme of the solution for the FMOESLVEP models is given.",Humanitarian Relief Logistics Fuzzy Planning Model for the Shelters’ Location and Victims’ Evacuation in the Disaster Zone,[35266],885,"[8, 25, 77]",161,Fuzzy sets and systems,44,12,47,Multiple Criteria Decision Analysis,"Wednesday, 8:30-10:00",W,A,8:30,10:00,2024-07-03,50 [building - 324],"['Artificial Intelligence', 'Decision Analysis', 'Multi-Objective Decision Making']",WA-47
"Decision Support Systems [DSS] were born in the 70’s. Since this decade, we can find in the literature several tracks of evolution for these systems. We will draw the evolutions of DSS - describing the architecture, the usability, the functionalities, the programming technics as well as the way to use these 
systems. We will show how Artificial Intelligence and Machine Learning influenced the development of DSSs. Different projects will be presented related to DSSs.",Decision support systems - History and trends,[76052],42,"[26, 8]",163,Pascale Zarate,62,7,01,Keynotes,"Tuesday, 8:30-10:00",T,A,8:30,10:00,2024-07-02,Sportshallen [building - 101],"['Decision Support Systems', 'Artificial Intelligence']",TA-01
"The present study approaches variational inequalities governed by the perturbed operator generated by the energy of the mathematical pendulum. It was proved recently Fan-hemicontinuity for the gradient of the norm defined on its scalarly-positive, closed convex subdomain of a Hilbert space. The aim of the present study is to establish whether or not the positive result obtained for Fan-hemicontinuity can be extended to an arbitrary reflexive Banach space. In this matter it is natural to consider the duality map and its topological properties. Based on weak-weak sequential continuity of the generalized duality map, the property above holds on the discrete spaces of sequences with power p summable and does not hold on the Lebsegue spaces of functions with power p integrable, [p not equal to 2], thus restricting the space setting where weak compactness results are applicable.",Fan-hemicontinuity for the gradient of the norm in several reflexive Banach spaces,[72512],262,"[21, 19, 52]",165,Recent advances on Variational Inequalities and Equilibrium Problems I,51,13,43,Variational Inequalities and Equilibrium Problems - From Theoretical Advances to Real World Applications,"Wednesday, 10:30-12:00",W,B,10:30,12:00,2024-07-03,99 [building - 306],"['Convex Optimization', 'Continuous Optimization', 'Global Optimization']",WB-43
"We present the difference of convex functions algorithm [DCA] applied to a variety of non-convex optimization problems arising in energy sector coupling and equilibrium problems. Non-convexities emerge frequently in many energy models, such as though bilinear terms, integer constrained variables and non-convex quadratic constraints. Recently, DCA has proven effective in solving such problems by linearizing non-convex terms and converging to an optimal solution iteratively by solving convex subproblems. In our work, we use DCA to solve a wide range of non-convex problems, such as linear complementarity problems, mixed integer linear programs and quadratic programs with non-convex quadratic constraints. We demonstrate the effectiveness and versatility of DCA by applying it to a variety of energy models, such as the unit commitment problem, district heating networks and energy market equilibrium problems.",Addressing Non-Convexities in Sector Coupling Problems via the Difference of Convex Functions Algorithm,"[76045, 6412, 36601, 23956, 74595]",175,"[93, 84, 5]",169,"Energy sector coupling, optimization and equilibrium",23,3,21,OR in Energy,"Monday, 10:30-12:00",M,B,10:30,12:00,2024-07-01,49 [building - 116],"['OR in Energy', 'Optimization Modeling', 'Algorithms']",MB-21
"A dynamic iterative auction-based approach is developed to solve the multi-agent scheduling problem with parallel machines. In the proposed approach, an auction procedure is established for dynamic jobs participating in a real-time auction. A straightforward and easy-to-implement bidding strategy without price is presented to reduce the complexity of the bid determination. An adaptive Hungarian algorithm is applied to solve the winner determination problem. An analysis is conducted to show that the proposed approach is individual rationality and that the myopic bidding strategy is a weakly dominant strategy for consumer to submit bids. Extensive simulation results show that the developed approach can get high-quality solutions and have considerable stability on large-scale problems. ",Multi-agent Parallel Machine Scheduling based on Auction,[49806],808,"[129, 9, 3]",170,Machine scheduling problems,32,14,49,"Lot Sizing, Lot Scheduling and Production Planning","Wednesday, 12:30-14:00",W,C,12:30,14:00,2024-07-03,M1 [building - 101],"['Scheduling', 'Auctions / Competitive Bidding', 'Agent Systems']",WC-49
"Judgmental forecasting is the domain of psychologists interested in forecasting and covers the areas of judgmental probability forecasting and the judgmental adjustment of time-series models, mostly at an individual-participant level. Closely linked is the Delphi method which is a group-based method. By contrast, scenario thinking was, until recently, the domain of practitioners interested in helping organisations make better decisions in the face of uncertainty. My paper discusses the role of subjective probability and outcome verification, and the focus on single point estimates as opposed to creating multiple, broad-brush anticipations of the future. Until recently, very little academic research has used experimental techniques to evaluate the quality of developed scenarios, but this position is changing. Additionally, recent work within the judgmental forecasting tradition has combined judgmental prediction with scenario storylines, a focus that has also become part of practice - for example, within the UK National Grid energy scenarios that are used for national policymaking. Clearly, scenario thinking is now becoming strongly established in practice - perhaps as a response to the World's lack of preparedness for Covid-19 pandemic. I discuss the emerging need to develop and apply yardsticks of the quality of both the scenario development process and of the resultant scenario content. I outline my thoughts on guidelines for such standard setting.","Using judgmental forecasting and scenario thinking for anticipating the future - what are the differences, the similarities, and the advantages of each?",[76062],569,"[133, 47, 25]",171,Scenarios and foresight practices - Behavioural issues II,13,13,11,Behavioural OR,"Wednesday, 10:30-12:00",W,B,10:30,12:00,2024-07-03,12 [building - 116],"['Soft OR', 'Forecasting', 'Decision Analysis']",WB-11
"In order to meet customer needs efficiently, logistics plays a crucial role within the broader supply chain by managing the forward and reverse flow, as well as storage, of products, services, and associated data. This study addresses the supply chain network problem, focusing on determining the optimal allocation of orders from multiple plants, warehouses, and distributors. The goal is to minimize total transportation and inventory costs while simultaneously optimizing locations, flows, shipment composition, and shipment cycle times. The formulated problem is treated as a multi-objective programming challenge and is solved using the value function approach to obtain the optimal order allocation of products. A case study on ABC Company's supply chain is conducted to assess the effectiveness and applicability of the developed multi-objective model. The results indicate optimal transportation and inventory costs for ABC Company, along with an optimal distribution network within India. These findings hold significant relevance for the manufacturing sector, especially for those grappling with logistics challenges in their supply chain networks. The developed model equips researchers and managers to navigate various uncertainties and logistics risks associated with supply chain networks.",Managing Transportation and Inventory Simultaneously - A Dual-Objective Approach in Supply Chain Networks with Multiple Distribution Networks,"[72417, 76297]",68,"[65, 77, 84]",173,Decision Support for Sustainable Operations,45,10,45,Decision Support Systems,"Tuesday, 14:30-16:00",T,D,14:30,16:00,2024-07-02,30 [building - 324],"['Logistics', 'Multi-Objective Decision Making', 'Optimization Modeling']",TD-45
"In this presentation, we consider a firm that may face sudden decreases in its revenue. Its revenue is modeled by a geometric Brownian motion, and the cumulative effect of negative shocks is modeled by a compound Poisson process. The firm has two options - either to exit the market or to adopt risk mitigation measures to reduce the impact of the revenue decrease. The firm's option value is modeled as an optimal stopping problem, which we analyze in this presentation. Furthermore, we examine the impact of protective strategies on the firm's option value.",Management of adverse events - risk mitigation or exiting?,[71590],71,"[135, 27, 45]",176,Robust decisions in finance and investments,74,7,57,Modern Decision Making in Finance and Insurance,"Tuesday, 8:30-10:00",T,A,8:30,10:00,2024-07-02,S06 [building - 101],"['Stochastic Models', 'Decision Theory', 'Financial Modelling']",TA-57
"In the present research, a decision support methodology for facility location selection problems is developed. The methodology is based on the TOPSIS [Technique for Order Performance by Similarity to Ideal Solution] approach under a picture fuzzy environment. We are focusing on a special case of facility location problem, namely location planning for service centers. A set of potential center sites, or alternatives, are typically involved in this kind of challenge, and they are assessed based on some weighted criteria. The alternative that best meets each criterion will be selected for implementation. To evaluate criteria our approach uses experts' assessments, that is in the proposed methodology the values of the criteria are expressed in picture fuzzy numbers, given by the group of experts. The case when the information on the criteria weights is completely unknown is considered. In the context of picture fuzzy sets, the criteria weights identification based on De Luca-Termini information entropy is presented. Hence, the proposed approach is based on a picture fuzzy TOPSIS decision-making model with entropy weights. The fuzzy positive-ideal solution [FPIS] and fuzzy negative-ideal solution [FNIS] are first defined using the TOPSIS algorithm. Then the ranking of alternatives is performed following the proximity of their distances to both FPIS and FNIS. For this purpose, the picture weighted Hamming distance is used. ",Facility Location Selection Problem based on Picture Fuzzy TOPSIS,"[76065, 35266]",885,"[8, 25, 49]",180,Fuzzy sets and systems,44,12,47,Multiple Criteria Decision Analysis,"Wednesday, 8:30-10:00",W,A,8:30,10:00,2024-07-03,50 [building - 324],"['Artificial Intelligence', 'Decision Analysis', 'Fuzzy Sets and Systems']",WA-47
"This paper addresses contexts in manpower or in the progression of chronic diseases. It uses the notion of a cohort whose members advance through various states over time [e.g. employees or patients]. The aim is to steer the system towards a desired state, or set of states, through interventions made by recruitment or treatments which are evaluated on their capacity to achieve this goal in fixed or free time control settings. The presentation is based on a modelling framework, which blends DEA with Markov Chains in radial and additive models. The Markov process offers a set of equations that can be used to describe the movement of entities through time in a hierarchical system [e.g. illness states] and makes possible the investigation of interventions in order to guide the system towards a desired future structure. A given set of possible policies [e.g., new treatments used in a health system] are treated as DMUS at each stage and various models, including single or two-stage configurations with recruitment Decision Making Units [DMUs], are presented in single or multiple targeting environments. The paper concludes by deliberating on the merits and constraints inherent in these models. 

The research project was supported by the Hellenic Foundation for Research and Innovation [H.F.R.I] under the 2nd Call for H.F.R.I. Research Projects to support Faculty Members & Researchers [Project Number - 3154].
",Planning methods using Data Envelopment Analysis and Markov Systems,"[381, 664, 70818, 68715]",937,"[24, 135, 35]",181,DEA and stochastic models,89,4,48,Data Envelopment Analysis and its Application,"Monday, 12:30-14:00",M,C,12:30,14:00,2024-07-01,60 [building - 324],"['Data Envelopment Analysis', 'Stochastic Models', 'Efficiency Analysis']",MC-48
